CODIGO ,PRODUTOS,PRECIO
10911051,A. ISCA BRAVA GRAND 100 051 10cm 23.9g M. água,"5,85"
10911053,A. ISCA BRAVA GRAND 100 053 10cm 23.9g M. água,"5,85"
10911450,A. ISCA BRAVA GRAND 100 450 10cm 23.9g M. água,"5,85"
10750014,A. ISCA DEEP DART 75 014 7.5cm 11.5g M. água,"5,18"
10750024,A. ISCA DEEP DART 75 024 7.5cm 11.5g M. água,"5,18"
10750028,A. ISCA DEEP DART 75 028 7.5cm 11.5g M. água,"5,18"
10750051,A. ISCA DEEP DART 75 051 7.5cm 11.5g M. água,"5,18"
10750053,A. ISCA DEEP DART 75 053 7.5cm 11.5g M. água,"5,18"
10850014,A. ISCA DEEP DART 85 014 8.5cm 18g M. água,"5,44"
10850024,A. ISCA DEEP DART 85 024 8.5cm 18g M. água,"5,44"
10850028,A. ISCA DEEP DART 85 028 8.5cm 18g M. água,"5,44"
10850051,A. ISCA DEEP DART 85 051 8.5cm 18g M. água,"5,44"
10850053,A. ISCA DEEP DART 85 053 8.5cm 18g M. água,"5,44"
44002377,A. ISCA DUEL L-BASS JERKB 110SF F1238-GSAY 110mm,"7,59"
44002378,A. ISCA DUEL L-BASS JERKB 110SF F1238-GSCB 110mm,"7,59"
44002379,A. ISCA DUEL L-BASS JERKB 110SF F1238-GSWS 110mm,"7,59"
44002295,A. ISCA DUEL L-BASS JERKB 110SF F1238-HCR 11cm 15g,"7,59"
44002296,A. ISCA DUEL L-BASS JERKB 110SF F1238-MGGB 11cm 15,"7,59"
44002297,A. ISCA DUEL L-BASS JERKB 110SF F1238-MGSR 11cm 15,"7,59"
44002178,A. ISCA DUEL L-BASS JERKB 110SF F1239-HCR 11cm 16g,"7,59"
44002179,A. ISCA DUEL L-BASS JERKB 110SF F1239-MGGB 11cm 16,"7,59"
44002180,A. ISCA DUEL L-BASS JERKB 110SF F1239-MGSR 11cm 16,"7,59"
44002381,A. ISCA DUEL L-BASS JERKB MID 110SF F1239-GSWS ,"7,59"
44002138,A. ISCA DUEL L-BASS SHAD 60SP F1215-MGSR 6cm 6g,"6,63"
44002147,A. ISCA DUEL L-BASS SHRIMP 70SS F1221-MEB 7cm 7g,"7,44"
44002367,A. ISCA DUEL L-BLUE BUBBLE JET  90F F1228-HGR,"7,77"
44002370,A. ISCA DUEL L-BLUE BUBBLE JET  90F F1228-TM 90mm,"7,77"
44002371,A. ISCA DUEL L-BLUE BUBBLE JET 120F F1229-HGR,"9,44"
44002152,A. ISCA DUEL L-BLUE FIX MINNOW  70S F1231-HGR 7cm,"6,95"
44002153,A. ISCA DUEL L-BLUE FIX MINNOW  70S F1231-HLCL 7cm,"6,95"
44002154,A. ISCA DUEL L-BLUE FIX MINNOW  70S F1231-HPI 7cm,"6,95"
44002155,A. ISCA DUEL L-BLUE FIX MINNOW  70S F1231-HRH 7cm,"6,95"
44002156,A. ISCA DUEL L-BLUE FIX MINNOW  70S F1231-TM 7cm,"6,95"
